,text,sentiment
14670,"Я очень рада , что открылась Гинза на Юго-западе .  Отличное место , все оооочень вкусно !  Мясо готовят божественно .  Малиновый морс , это шедевр .  Хожу сюда минимум раз в неделю с самого открытия .  Сервис на чистую 10 .  Съела всего одно блюдо не вкусное и то , сама виновата , не разобралась , из чего именно это блюдо .  Заменили без проблем , даже не платила за неудачное блюдо !  Вы молодцы ! вам чистая 10 .  На Ленинском проспекте , Вам нет равных .  Из минусов только - парковка .  ",1
26878,"Внешний вид кафе ( язык не повернется назвать "" это "" рестораном ) располагает к уюту и приятной атмосфере потенциального гостя , но внутри все оказалось немного иначе .  Во-первых , совсем не понравилось то , что помещение постоянно патрулиурют мухи , во-вторых , цены в этом кафе "" аховые "" , за такие деньги можно 2 раза сходить в находящийся неподалеку ресторан Севгилим .  Шикарное помещение , великолепный обслуживающий персонал , а главное , приемлемые цены !  Вообщем-то на кафешку среднего класса потянет ...  ",2
4046,"Останавливаясь в этом отеле приготовьтесь к тому что в номере вас будут ждать грязные полы, неисправный туалет, ванная со слоем извести, отвратительный рецепшн. Не верьте рекламе на сайте, это всё выдумка. Многим нравятся завтраки. Да, они и вправду были неплохими, но главное в гостинице - это обслуживание и как выглядит номер, поэтому общая оценка - 1 из 5.",2
44744,"В целом все понравилось, не буду расписывать про отель,тут уже и так много написано,что он зелёный и ухоженный, напишу про персонал отеля-все девушки на ресепшн отзывчивы и приветливы, за исключением мужчины Дона-он надменный и высокомерный,как будто к нему приехала 7 вода на киселе и это его очень злит...может быть он только к русским относится так-видела несколько русскоговорящих пар которых он заселял ,а нам он ещё и предложил доплатить за номер,хотя мы изначально брали не дешевый вариант ...ниже уже читала такой же отзыв и полностью согласна,что это лохотрон!Из-за Дона оценку снизила",0
55360,"Очень понравился роддом
Рожала в роддоме 18.02.2011. Очень понравился роддом, отношение отличное, что в патологии, что на родах, никто ни разу не нахамил, не накричал. Роды принимала акушерка Наталья Николаевна ( Фамилии не помню)отнеслась как к родной дочери, и водичку подаст и успокоит и пошутит. Детские врачи тоже отзывчивые, на все вопросы отвечают с охотой, всё показывают и рассказывают. Рожала абсолютно бесплатно.
",1
13259,"Спасибо работникам реанимационного отделения
Большая благодарность врачам и медсестрам реанимационного отделения! Спасибо Яцино Д. К. профессионал своего дела, врач который спасает людей! Всем работникам спасибо за вашу работу, за вежливое доброе отношение и сочувствие!
",1
22418,"НЕСТЕРОВ Роман Андреевич –  следователь по особо важным делам 2 отдела по расследованию особо важных дел (о преступлениях против государственной власти и в сфере экономики) следственного управления Следственного комитета по Волгоградской области ..Этот Нестеров?  Скоро будет статья  За знакомство с Навальным   А Вы как думали - ордена почёта только за красивые глазки дают? Заслужить надо!  а сколько ему лет?  Вот уроды!  Каким образом он пособничество по ст.310 собирается сочинить?Диспозиция статьи подразумевает, что разглашение данных предварительного расследования возможно только лицом, предупрежденным в установленном законом порядке о недопустимости их разглашения. Следовательно, для привлечения к уголовной ответственности журналиста, не получавшего такого предупреждения не возможно, равно нет правовых оснований для отмены свидетельства о регистрации  Новой газеты .  Дай им волю, они запретили бы все СМИ и социальные сети.   А что, нормально, Ирек.",0
66602,"Я счастлива
Я всю жизнь мечтала о ровных белых зубах. То, что это возможно, я знала. Много стоматологов предлагало свое лечение. Были сомнения, но в этой клинике невероятная атмосфера добра и понимания. Я нашла своего доктора! Спасибо Вам, Андрей Андреевич Опарко. Процветания и здоровья всей вашей семье!
",1
11355,"Благодарность лечащему врачу Алексеевой Алле Сергеевне и медсестрам
Я находилась на стационарном лечении в период с 18 апреля по 8 мая во 2-м отделении Терапии.
Я не смогу найти лучших слов благодарности, она лечит и делом, и словом, помогает и успокаивает, очень внимательно и с пониманием относится к каждому своему пациенту. Это Врач с большой буквы, врач от Бога. Я прожила 85 лет, за мою долгую жизнь встречались хорошие врачи, но такой специалист и прекрасный человек повстречался и помог мне впервые!
Я благодарю ее за все: за оказанную помощь, за назначенное лечение, которое мне помогло, за терпение, и я стала себя чувствовать гораздо лучше, побольше бы таких отличных и грамотных врачей, как Алла Сергеевна!
Также я хочу выразить благодарность медсестрам Сияховой Алле, Яковлевой Светлане, Ламакиной Кристине и Поповой Надежде (медсестре процедурного кабинета). Большое им Спасибо за внимательное и уважительное отношение к нам, вашим пациентам.
",1
13241,"Проблема в том, что маленький ребенок, иной раз чуть ли не до шести-семи лет, в запале просто упускает момент, когда надо попроситься в туалет. Поэтому не вижу ничего криминального в том, чтобы надевать на ребенка подгузник при походе в такие места.
",0
3615,"Срок введения обязательных пенсионных взносов работодателя (ОПВР) в Казахстане могут перенести. Об этом журналистам в Астане сегодня сообщила министр здравоохранения и социального развития Казахстана Тамара Дуйсенова.   Поправки в законодательство по вопросам пенсионного обеспечения, предполагающие введение условно-накопительной компоненты пенсионной системы за счет установления дополнительных пятипроцентных обязательных пенсионных взносов работодателя, были приняты в августе 2015 года. В проекте закона датой введения этих дополнительных пяти процентов обязательных пенсионных взносов значилось 1 января 2018 года.   По ее словам, имеются предложения о переносе ОПВР на сроки от одного года до двух лет. «Мы с учетом финансовой ситуации, стратегии экономического развития, которые сейчас разрабатываем с министерством национальной экономики, вместе рассмотрим и сообщим», — сказала Дуйсенова журналистам.   Согласно законодательству Казахстана, работающие граждане страны обязаны ежемесячно отчислять 10 процентов своей заработной платы в Единый накопительный пенсионный фонд (ЕНПФ). Предполагается, что выплаты по пятипроцентным отчислениям не будут считаться собственностью работника, и будут находиться в активе ЕНПФ.   В прошлом месяце силовыми органами была начата проверка по факту приобретения ЕНПФ облигаций частной компании «за счет собственных средств». Под арест взят Руслан Ерденаев, возглавлявший до задержания ЕНПФ, и директор департамента управления рисками Муса Бахтов, а также руководство частной компании, облигации которой были приобретены пенсионным фондом. ",2
33746,"Очень долго не могла определится с отелем приезжала на пару дней, Аквамарин то что надо очень чисто уютно тепло, вежливый персонал, очень круто спасибо Вам все на высшем уровне, номер был 316 суперио самый простой но очень классный , и уютный спасибо Вам☺️☺️☺️",1
19769,"Большое спасибо моему гинекологу
В целом впечатление о Центре положительное, ""цены не кусаются"". Хожу к гинекологу Сибилевой Анне Владимировне, доктор замечательный, очень отзывчивая, внимательная. Планирую в дальнейшем наблюдаться исключительно в этом центре.
",1
40109,"Останавливался в этой гостинице 8 раз в 2016 году, постоянный клиент.На первый взгляд, неплохое соотношение цена / качество, удобное расположение, плохая организация сервисных процессов, недружественный персонал.Отдельный комментарий по поводу бара в вечерние часы: бармен(ша) просто катастрофа, отсутствует на рабочем месте по 15-20 мин., вызвонить её невозможно. Подобная ситуация повторялась три раза. Большинство гостей не ждёт, а просто уходит.Охранник не следит за порядком на уличной территории гостиницы, предпочитая подслушивать разговоры гостей. Служба охраны требует однозначно другой организации.При последнем пребывании заселялся в гостиницу рано утром, около 4 часов утра, владелец золотой карты Accor, согласно условиям, имею право на ранний заезд.Дежурный менеджер г-жа Оксана Котляр предложила оплатить полный день по тарифу выше того, по которому я бронировал на странице Accor.Нулевая готовность помочь, недружественная коммуникация.Не было сил на пререкания, просто очень хотелось спать после двух полетов.Больше не буду останавливаться в этой гостинице и не буду рекомендовать ее моим друзьям.",2
10173,"Хочу выразить благодарность!
Лечилась в 5 хирургии в 2009 году. Хочу выразить большую благодарность Ивахову Г. Б. -врач ОТЛИЧНЫЙ. Спасибо большое!
",1
48076,"Ребята, не вкоем случае не берите отель, Пегас или кто там еще будет втюхивать. Стыд, срам, вонь, и неуважение за ваши деньги.Отдельно компании Пегас - верх не профессионализма и безответственного отношения. В случае любой ситуации на них не надейтесь.",2
478,"Отмечали в этом ресторане юбилей сотрудницы составом 35 человек .  Два раза ездили оговаривали меню , при этом мы предупредили , что никаких ограничений , предлагайте нам , мы закажем и оплатим , главное , чтобы гости были сыты !  Нас убедили , что того , что мы заказали более , чем достаточно ...  На деле оказалось всё по-другому ...  Порции с салатами оказались мизерными , их нереально было разделить на шестерых человек ( за одним столиком нас сидело именно столько ) .. чисто символически все попробовали по ложечке и на этом оказалось ВСЁ !  Больше нам ничего не доносили .. оставалось с нетерпением ждать горячего !!! Дождались .. Кутабы , крошечные , прозрачные , непонятно чем начинённые .. на шестерых человек - шесть штучек .. съели даже не распробовав !  Когда же принесли шашлык и овощи-гриль все воспряли духом .. НО ! оказалось , что рано радоваться ...  То что казалось горой мяса , на самом деле было не что иное , как несколько кусочков шашлыка , искусно замаскированных и похороненных под обилием картофеля , умело зажаренного в цвет с мясом !  Три помидорки .. пара долек печёного болгарского перца .. три крошечных кусочка красной рыбки ( никак не ожидали , что порция рыбного шашлыка в "" Лесном "" столь мизерна ) ...  Морс по 350 рублей за кувшин - это тоже роскошь , как будто они там лично выращивают ягоды , из которых он готовится ...  А малюсенькая бутылочка воды , на один стаканчик , стоимостью 50 рублей ...  Почему не разрешить хотя бы тогда свои соки ?  Ведь на банкет было потрачено ОЧЕНЬ НЕМАЛО !!!! Да , были хорошие фруктовые тарелки - спелая черешня , абрикосы , яблоки , и даже тооооненькие ломтики ананаса .  Но сами понимаете , мужчины , которые пьют крепкие спиртные напитки не могут заедать весь вечер их фруктами , огурцами и помидорами !!!! Короче , нас спасло хорошее настроение , танцы ( раз кушать нечего ) и наш неиссякаемый оптимизм !  Кстати , отгороженная ширмами , часть террасы была обещана в наше полное распоряжение , на деле же на ней постоянно кушали и отдыхали другие посетители ресторана !  Так что мы туда больше ни ногой !  Потому что кроме интересного интерьера посмотреть-то там не начто и поесть нечего ...  ",0
7500,"Офтальмолог Бакунина Наталья Александровна
Выражаю благодарность врачу-офтальмологу Бакуниной Наталье Александровне! До Нового Года успешно проведена операция по замене хрусталика. Через 2 месяца также успешно проведена операция по замене второго хрусталика. Благодаря Наталье Александровне у меня 100 % зрение! Спасибо большое всему лечащему персоналу за внимательность, заботу и профессионализм!
Личная благодарность и уважение Бакуниной Наталье Александровне! Здоровья и успехов во всех делах! Рекомендую всем, кто нуждается!

С уважением,
Александр Евгеньевич Макавеев.
Полковник Федеральной Таможенной Службы России.
",1
19849,"Узи и биохимия
Когда надо сделать узи или биохимию крови годовалому ребёнку, ездим только туда. Узист - наша знакомая врач, которую рекомендовала знакомая врач из Морозовской больницы. Очень нравится, подробно смотрит. В нашей районной таких нет специалистов. На счёт биохимии, у нас вообще отказываются брать кровь у детей до 3-х лет. Полгода назад попробовали - пришлось 3 раза приходить! Все вены ребёнку искололи, никак поймать вену не могли, и в итоге крови толком не хватило, начался спазм! В СМ-доктор же берут быстро, с первого раза, и ребёнок даже ручкой машет на прощние. К другим врачам не обращаемся, у нас хороший педиатр в районной поликлинике.
",1
15538,"мне не понравилось . интерьер симпатичный на 4 + , обслуживание отвратительное , половина меню отсутствует , а очень хотелось попробовать имбирный лимонад .  Сказали , что японская кухня не работает , но через час увидел как кому-то несли роллы .  Нам принесли повторно заказ , и на наши слова , что мы это заказывали один раз-официантка нам ответила , что два , поставила блюдо и ушла без лишних комментариев , совок короче !  Кухня ничего , но стоимость зашкаливает .  Ценник сравним с гинзой , но качество явно не на эти деньги ( ИТОГ : хорошо , что есть гардероб  ",0
58624,"Врачи контролировали весь процесс
Рожала 24 апреля 2010 в 17 роддоме бесплатно, первые роды. Считаю что это один из лучших роддомов Москвы. Поступила в 6-40, родила в 16-00 дочку. Отношение в предродовом отделении нормальное, после осмотра и подписания документов отвели в родовой бокс, лежала там одна, врачи контролировали весь процесс. Сделали эпидуральную анестезию, также вводили окситоцин для стимуляции, прежде чем что-то делать врачи спрашивали согласие в письменном виде, но я прислушивалась к их мнению, роды прошли нормально, на потугах врач не присутствовал, ушел на срочную операцию, но были две окушерки, которые приняли роды и не отходили, подсказывали что делать, как дышать, и в каких позах пережидать схватки. Я переживала, что не смогу сама родить, так как я миниатюрной комплекции, больше переживала насчет узкого таза, но ребенок прошол как положено, родила уже на 6-8 потуге, есть только небольшой разрывчик снаружи, но это ерунда, зашивали под анестезией. Как только родилась дочка, положили ее на живот, минут на 5-10, пока обрезали пуповину, потом всех отвозят в коридор и лежишь 2 часа под контролем врачей, если все нормально, переводят в послеродовое отделение, меня перевели через 2 часа. В послеродовом хорошие условия, в палатах по два человека, есть душ и туалет, это очень важно так как пришлось лежать 4 дня. Отношение ко всем одинаковое, отличие контрактников только в одноместных палатах с телевизором. Детские врачи конечно не долго задерживаются на обходе, не успеваешь задать все вопросы, но в целом все понравилось. По поводу врачей все на высшем уровне, огромная благодарность Корбуту Андрею Владимировичу, врачу который дежурил на родах, Сергею Михайловичу, и акушерке, Елене Викторовне, и другой Елене, отчество не знаю. На вторые роды, только в 17 роддом.
",1
3021,"о Навальный - политик, у него такое амплуа. Не ставить под сомнение итоги этих выборах при 51% и поздравить Собянина это для него, как для политика, в современнной российкой реалии, было бы ошибочно. Но и к революции никто не призывает уже и это правильно.  Небольшой вопрос - а в приличных странах происходит систематический подкуп избирателей продуктовыми наборами, полное доминирование одного кандидата в СМИ и рекламе и политические дела против оппозиционного кандидата?Я думаю, риторика про раскулачивание Пжив не нравится только Пжив. Вы тоже из их числа?  Какие, блядь, западные стандарты? Западные стардарты в стране, где оппозиционеры сидят в тюрьме, диктатор раздал своим друзьям половину экономики, а за призыв прогнать оного диктатора дают двушечку?   А Навальный что, электоральный географ, социолог, или еще кто-то? Политики постоянно переоценивают свой рейтинг.  Ну а как вы объясняете странное исчезновение и магическое возвращение?  Я понимаю почему там повышенный процент за Навального, но, видимо, автор считает, что там статистически что-то не то.   Навальный - политик, у него такое амплуа  - о чем я и говорю. Амплуа борцуна-люстратора имеет свой электоральный поток. Хочешь получить большинство? - смягчай позицию - это железное совершенно правило",0
1581,"Тут же были посты от учащегося на пилота, на 130 летает - он рассказывал, чем они отличаются.",0
8586,"ух захватывает!  Подождем.Согласен,захватывает.Тут   где-то   читал  в  сети  один   капитан  3  ранга ,уже  на  пенсии,  вспоминал  как  его   готовили   на   новострой,  мапл  - Северодвинск-.Он   на  пенсии, а    корабль  все   испытывают   и   числят  новостроем.  Вот поэтому планы и вызывают скептицизм.Кстати,читал,что из всей серии тех пассажирских теплоходов,на плаву только А.Тарасова.Ее шведы купили,приспособили к плаванию во льдах и катают туристов в Гренландию.Хороший теплоход,качественный",1
40482,"Бронировала отель на 1 ночь.Удобно, что сутки считаются от часа заезда. Трансфер тоже весьма кстати, т.к. отель расположен вроде недалеко, но самостоятельно добраться нереально. Кафе очень уютное, обслуживание быстрое, приветливое. Номер достался в мансарде, что не совсем удобно, т.к. на окне нет занавески. В целом впечатление приятное, хорошая альтернатива ночевке в аэропорту.",1
